Year,LocationAbbr,LocationDesc,Class,Topic,Question,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Break_Out,Break_Out_Category,Geolocation,ClassId,TopicId,QuestionId,LocationId,BreakOutId,BreakOutCategoryid,ResponseId
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,6-10/day,%,Percentage,5,,,,4.5,5.6,1019,Unintended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND2,BOC11,RES13
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,81.8,,,,80.9,82.8,14335,Unintended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND2,BOC11,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,< 1/day,%,Percentage,1.9,,,,1.6,2.3,431,Unintended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND2,BOC11,RES8
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,11-20/day,%,Percentage,2.7,,,,2.3,3.1,529,Unintended,Pregnancy Intendedness,,CLA9,TOP27,QUO191,59,IND2,BOC11,RES9
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,,%,Percentage,924,1,"Missing includes not applicable, don't know, not recorded, no responses, and legitimate skips",,,,,,Smoked 3 months before Pregnancy,,CLA9,TOP27,QUO191,59,BOC12,BOC12,
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,100,,,,99.9,100,32855,Non-Smoker,Smoked 3 months before Pregnancy,,CLA9,TOP27,QUO191,59,SMK1,BOC12,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,23.1,,,,21.7,24.5,2741,Smoker,Smoked 3 months before Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC12,RES10
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,21-40/day,%,Percentage,1.7,,,,1.3,2.2,211,Smoker,Smoked 3 months before Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC12,RES11
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,41+/day,%,Percentage,0.9,,,,0.6,1.2,101,Smoker,Smoked 3 months before Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC12,RES12
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,6-10/day,%,Percentage,14.9,,,,13.8,16.2,1768,Smoker,Smoked 3 months before Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC12,RES13
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,44.9,,,,43.2,46.6,4459,Smoker,Smoked 3 months before Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC12,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,11-20/day,%,Percentage,8.1,,,,7.2,9.1,939,Smoker,Smoked 3 months before Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC12,RES9
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,,%,Percentage,799,1,"Missing includes not applicable, don't know, not recorded, no responses, and legitimate skips",,,,,,Smoked last 3 months of Pregnancy,,CLA9,TOP27,QUO191,59,BOC13,BOC13,
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,100,,,,,,37402,Non-Smoker,Smoked last 3 months of Pregnancy,,CLA9,TOP27,QUO191,59,SMK1,BOC13,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,41.8,,,,39.6,44,2765,Smoker,Smoked last 3 months of Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC13,RES10
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,21-40/day,%,Percentage,3.1,,,,2.3,4,217,Smoker,Smoked last 3 months of Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC13,RES11
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,41+/day,%,Percentage,1.6,,,,1.1,2.2,104,Smoker,Smoked last 3 months of Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC13,RES12
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,6-10/day,%,Percentage,27.1,,,,25.1,29.2,1776,Smoker,Smoked last 3 months of Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC13,RES13
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,< 1/day,%,Percentage,11.9,,,,10.5,13.4,783,Smoker,Smoked last 3 months of Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC13,RES8
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,11-20/day,%,Percentage,14.6,,,,13.1,16.3,942,Smoker,Smoked last 3 months of Pregnancy,,CLA9,TOP27,QUO191,59,SMK2,BOC13,RES9
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,,%,Percentage,4067,1,"Missing includes not applicable, don't know, not recorded, no responses, and legitimate skips",,,,,,Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,BOC14,BOC14,
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,7.8,,,,6.9,8.7,838,"$10,000 to $24,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC36,BOC14,RES10
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,21-40/day,%,Percentage,0.4,,,,0.2,0.6,57,"$10,000 to $24,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC36,BOC14,RES11
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,41+/day,%,Percentage,0.4,,,,0.2,0.6,35,"$10,000 to $24,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC36,BOC14,RES12
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,6-10/day,%,Percentage,4.9,,,,4.1,5.7,540,"$10,000 to $24,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC36,BOC14,RES13
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,82,,,,80.6,83.3,7506,"$10,000 to $24,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC36,BOC14,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,< 1/day,%,Percentage,1.8,,,,1.4,2.2,224,"$10,000 to $24,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC36,BOC14,RES8
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,11-20/day,%,Percentage,2.8,,,,2.3,3.6,268,"$10,000 to $24,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC36,BOC14,RES9
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,4.9,,,,4.2,5.7,450,"$25,000 to $49,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC37,BOC14,RES10
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,21-40/day,%,Percentage,0.2,,,,0.1,0.3,30,"$25,000 to $49,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC37,BOC14,RES11
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,41+/day,%,Percentage,0.1,,,,0,0.2,13,"$25,000 to $49,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC37,BOC14,RES12
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,6-10/day,%,Percentage,3.4,,,,2.8,4.2,314,"$25,000 to $49,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC37,BOC14,RES13
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,88.1,,,,86.8,89.2,7337,"$25,000 to $49,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC37,BOC14,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,< 1/day,%,Percentage,1.4,,,,1,1.9,137,"$25,000 to $49,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC37,BOC14,RES8
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,11-20/day,%,Percentage,1.9,,,,1.5,2.4,175,"$25,000 to $49,999",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC37,BOC14,RES9
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,1.8,,,,1.4,2.2,248,"$50,000 or more",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC38,BOC14,RES10
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,21-40/day,%,Percentage,0.1,,,,0,0.2,12,"$50,000 or more",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC38,BOC14,RES11
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,41+/day,%,Percentage,0.1,,,,0,0.2,11,"$50,000 or more",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC38,BOC14,RES12
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,6-10/day,%,Percentage,1.2,,,,0.9,1.5,168,"$50,000 or more",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC38,BOC14,RES13
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,95.4,,,,94.8,96,13095,"$50,000 or more",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC38,BOC14,RES27
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,< 1/day,%,Percentage,0.8,,,,0.6,1.1,99,"$50,000 or more",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC38,BOC14,RES8
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,11-20/day,%,Percentage,0.7,,,,0.5,0.9,100,"$50,000 or more",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC38,BOC14,RES9
2007,PRAMS Total,PRAMS Total,Maternal Behavior/Health,Tobacco Use,In the last 3 months of your pregnancy  how many cigarettes did you smoke on an average day?,PRAMS,1-5/day,%,Percentage,9.3,,,,8.3,10.3,1044,"Less than $10,000",Income (years 2004 and beyond),,CLA9,TOP27,QUO191,59,INC39,BOC14,RES10
